ResponseId,LanguageWantToWorkWith
511,HTML/CSS
511,Python
511,SQL
511,TypeScript
515,Bash/Shell (all shells)
515,C
515,C++
515,HTML/CSS
515,JavaScript
515,Ruby
515,SQL
515,TypeScript
523,Python
523,SQL
529,C#
529,HTML/CSS
529,JavaScript
529,PowerShell
529,R
529,Rust
529,SQL
529,TypeScript
531,C#
531,HTML/CSS
531,JavaScript
531,PowerShell
531,Python
531,Rust
531,SQL
531,TypeScript
533,C#
533,HTML/CSS
533,JavaScript
533,TypeScript
535,C#
535,Go
535,JavaScript
535,Python
535,TypeScript
543,C
543,C#
543,C++
543,Lua
543,Python
546,Go
546,JavaScript
546,Python
546,Rust
546,SQL
546,TypeScript
548,Bash/Shell (all shells)
548,C++
548,Go
548,Rust
548,TypeScript
549,HTML/CSS
549,Java
549,JavaScript
549,Python
549,TypeScript
553,C#
553,F#
553,SQL
554,C#
554,C++
554,Go
554,Kotlin
554,PowerShell
554,Rust
554,SQL
554,TypeScript
557,Bash/Shell (all shells)
557,Elixir
557,Haskell
557,HTML/CSS
557,JavaScript
557,Rust
557,SQL
557,TypeScript
562,C
562,Clojure
562,Go
562,JavaScript
565,C#
565,HTML/CSS
565,SQL
567,C#
567,HTML/CSS
567,JavaScript
567,SQL
567,TypeScript
570,C#
570,HTML/CSS
570,JavaScript
570,SQL
570,TypeScript
571,Go
571,HTML/CSS
571,Java
571,JavaScript
571,Kotlin
571,Rust
571,SQL
571,TypeScript
573,C#
573,JavaScript
573,PowerShell
573,SQL
573,TypeScript
574,Bash/Shell (all shells)
574,PowerShell
574,Python
574,SQL
577,Bash/Shell (all shells)
577,C
577,Go
577,HTML/CSS
577,JavaScript
577,PHP
577,Python
577,Rust
577,TypeScript
580,Bash/Shell (all shells)
580,Go
580,Java
580,JavaScript
580,Kotlin
580,Perl
580,SQL
580,TypeScript
585,Java
585,TypeScript
588,Bash/Shell (all shells)
588,JavaScript
588,Kotlin
588,Python
588,SQL
588,TypeScript
589,Assembly
589,Bash/Shell (all shells)
589,HTML/CSS
589,JavaScript
589,PowerShell
589,Python
591,Go
591,Java
591,JavaScript
591,SQL
591,TypeScript
593,C#
593,HTML/CSS
593,JavaScript
593,SQL
593,TypeScript
595,Crystal
595,Go
595,Kotlin
595,Python
595,Ruby
595,Rust
595,SQL
595,TypeScript
601,C
601,C#
601,C++
601,Dart
601,HTML/CSS
601,Java
601,JavaScript
601,Kotlin
601,PHP
601,Python
601,SQL
601,TypeScript
603,C#
603,TypeScript
604,Java
607,C#
607,Go
607,PowerShell
607,Python
607,SQL
608,Go
608,HTML/CSS
608,JavaScript
608,PHP
608,SQL
608,Swift
608,TypeScript
609,Assembly
609,Bash/Shell (all shells)
609,C
609,C#
609,C++
609,GDScript
609,HTML/CSS
609,JavaScript
609,Lua
609,PowerShell
609,Python
609,Rust
609,SQL
613,Bash/Shell (all shells)
613,Go
613,HTML/CSS
613,JavaScript
613,Python
613,Ruby
613,SQL
614,HTML/CSS
614,Java
614,JavaScript
614,Kotlin
614,Python
614,SQL
619,C#
619,PowerShell
620,Dart
620,GDScript
620,Kotlin
621,Bash/Shell (all shells)
621,C++
621,Go
621,JavaScript
621,Lua
621,Rust
621,SQL
624,Bash/Shell (all shells)
624,Go
624,Python
632,C#
632,Java
632,TypeScript
641,Bash/Shell (all shells)
641,C#
641,HTML/CSS
641,PowerShell
641,TypeScript
642,C#
642,HTML/CSS
642,JavaScript
642,PowerShell
642,SQL
642,TypeScript
643,F#
643,SQL
645,C#
645,SQL
647,Bash/Shell (all shells)
647,Java
647,JavaScript
647,PHP
647,SQL
647,TypeScript
650,C#
650,SQL
650,TypeScript
651,HTML/CSS
651,JavaScript
651,PHP
651,SQL
651,TypeScript
654,Bash/Shell (all shells)
654,Go
654,JavaScript
654,Python
654,SQL
654,TypeScript
655,Bash/Shell (all shells)
655,C#
655,HTML/CSS
655,Lua
655,Python
655,Rust
657,C#
657,HTML/CSS
657,SQL
663,Go
663,HTML/CSS
663,Java
663,JavaScript
663,Lua
663,PHP
663,SQL
663,Swift
666,Go
666,JavaScript
666,Python
666,Rust
666,SQL
666,TypeScript
670,Go
670,HTML/CSS
670,Python
670,SQL
670,Swift
672,C#
672,C++
672,HTML/CSS
672,JavaScript
672,PowerShell
672,TypeScript
674,Bash/Shell (all shells)
674,C#
674,HTML/CSS
674,JavaScript
674,Objective-C
674,PHP
674,Python
674,Rust
674,SQL
674,Swift
674,TypeScript
674,Visual Basic (.Net)
675,Bash/Shell (all shells)
675,C#
675,Rust
675,TypeScript
687,C++
687,Dart
687,Elixir
687,Go
687,Python
687,SQL
687,TypeScript
687,Zig
688,C
688,C#
688,Dart
688,GDScript
688,Go
688,PHP
688,Rust
688,SQL
690,Go
690,Python
691,Bash/Shell (all shells)
691,Java
692,Bash/Shell (all shells)
692,JavaScript
692,Python
692,Rust
692,SQL
692,TypeScript
695,C#
695,Python
695,SQL
695,TypeScript
698,C
698,C++
698,Elixir
698,Haskell
698,Swift
698,Zig
699,HTML/CSS
699,JavaScript
699,Python
699,SQL
700,Bash/Shell (all shells)
700,HTML/CSS
700,JavaScript
700,Ruby
700,SQL
701,Bash/Shell (all shells)
701,Dart
701,Go
701,HTML/CSS
701,JavaScript
701,Kotlin
701,SQL
701,Swift
701,TypeScript
701,Zig
704,Bash/Shell (all shells)
704,Crystal
704,Elixir
704,Haskell
704,HTML/CSS
704,Nim
704,Ruby
704,Scala
704,Swift
704,Zig
705,Assembly
705,C
705,HTML/CSS
705,Java
705,JavaScript
705,Kotlin
705,PHP
705,Python
705,SQL
705,Swift
705,TypeScript
709,Go
709,Python
709,Rust
709,SQL
715,C#
715,JavaScript
715,SQL
715,TypeScript
723,Bash/Shell (all shells)
723,Go
723,HTML/CSS
723,JavaScript
723,PHP
723,Rust
723,SQL
723,TypeScript
727,Kotlin
727,Swift
727,TypeScript
728,Elixir
728,Julia
728,Rust
728,TypeScript
729,HTML/CSS
729,JavaScript
729,PHP
729,Python
729,SQL
731,Bash/Shell (all shells)
731,Groovy
731,HTML/CSS
731,Java
731,JavaScript
731,Kotlin
731,Python
731,Rust
731,SQL
731,TypeScript
735,Dart
735,HTML/CSS
735,JavaScript
735,Kotlin
735,Swift
735,TypeScript
738,HTML/CSS
738,JavaScript
738,Python
738,SQL
738,TypeScript
741,C#
741,HTML/CSS
741,JavaScript
741,Rust
741,SQL
744,C#
744,Kotlin
744,PowerShell
744,Swift
745,HTML/CSS
745,Rust
745,TypeScript
745,Zig
760,HTML/CSS
760,JavaScript
760,Python
760,Rust
760,SQL
760,TypeScript
763,Bash/Shell (all shells)
763,C#
763,C++
763,Go
763,HTML/CSS
763,JavaScript
763,Rust
763,SQL
763,TypeScript
767,Bash/Shell (all shells)
767,C++
767,HTML/CSS
767,JavaScript
767,Python
767,TypeScript
770,Bash/Shell (all shells)
770,C#
770,HTML/CSS
770,JavaScript
770,Rust
770,Solidity
770,SQL
772,Assembly
772,Bash/Shell (all shells)
772,C
772,C#
772,Dart
772,Go
772,Lua
772,Objective-C
772,SQL
772,Swift
772,Zig
773,JavaScript
779,C#
779,Go
779,Java
779,JavaScript
779,Kotlin
779,SQL
779,TypeScript
780,C#
780,JavaScript
780,PowerShell
780,Python
780,Rust
780,TypeScript
782,Go
782,Python
782,TypeScript
788,Bash/Shell (all shells)
788,Go
788,HTML/CSS
788,JavaScript
788,PHP
788,SQL
788,TypeScript
790,Bash/Shell (all shells)
790,Go
790,HTML/CSS
790,JavaScript
790,Python
790,SQL
790,TypeScript
791,Bash/Shell (all shells)
791,C
791,C#
791,C++
791,GDScript
791,HTML/CSS
791,JavaScript
791,Lua
791,PHP
791,PowerShell
791,Python
797,Go
797,HTML/CSS
797,JavaScript
797,Python
808,Bash/Shell (all shells)
808,C
808,C#
808,C++
808,Go
808,HTML/CSS
808,JavaScript
808,MicroPython
808,PowerShell
808,Rust
811,C#
811,Fortran
811,Python
811,SQL
813,Go
813,Java
813,SQL
814,Bash/Shell (all shells)
814,Clojure
814,Dart
814,Go
814,Haskell
814,HTML/CSS
814,JavaScript
814,Julia
814,TypeScript
816,C#
816,HTML/CSS
816,Lua
816,PHP
816,TypeScript
820,C#
820,Prolog
820,TypeScript
820,VBA
824,Bash/Shell (all shells)
824,C#
824,HTML/CSS
824,JavaScript
824,PowerShell
824,Python
824,SQL
825,C#
825,C++
825,HTML/CSS
825,JavaScript
825,Kotlin
825,Objective-C
825,Swift
825,TypeScript
826,Go
826,HTML/CSS
826,Java
826,JavaScript
826,Ruby
826,SQL
827,Bash/Shell (all shells)
827,Go
827,HTML/CSS
827,JavaScript
827,Python
827,Ruby
827,Rust
827,SQL
829,Java
829,JavaScript
829,Python
829,SQL
832,Bash/Shell (all shells)
832,C#
832,HTML/CSS
832,SQL
832,TypeScript
834,Bash/Shell (all shells)
834,HTML/CSS
834,Python
834,SQL
844,Bash/Shell (all shells)
844,C#
844,HTML/CSS
844,JavaScript
844,Rust
844,TypeScript
848,HTML/CSS
848,Java
848,JavaScript
848,PHP
848,Prolog
848,Python
848,SQL
849,C#
849,HTML/CSS
849,PowerShell
849,SQL
849,TypeScript
852,Bash/Shell (all shells)
852,C#
852,C++
852,Go
852,HTML/CSS
852,JavaScript
852,PHP
852,Python
852,SQL
852,TypeScript
857,C#
857,HTML/CSS
857,SQL
857,TypeScript
859,C
859,C#
859,HTML/CSS
859,JavaScript
859,PHP
859,SQL
859,TypeScript
859,Visual Basic (.Net)
861,Elixir
861,Go
861,JavaScript
861,Ruby
861,Rust
862,Bash/Shell (all shells)
862,HTML/CSS
862,JavaScript
862,Python
862,SQL
862,TypeScript
870,Bash/Shell (all shells)
870,HTML/CSS
870,PHP
870,Python
870,SQL
874,Bash/Shell (all shells)
874,Java
874,SQL
880,C#
880,Rust
880,SQL
880,TypeScript
883,Bash/Shell (all shells)
883,Go
883,HTML/CSS
883,Rust
883,TypeScript
883,Zig
884,HTML/CSS
884,JavaScript
884,SQL
884,TypeScript
887,HTML/CSS
887,JavaScript
887,PowerShell
887,Python
887,SQL
887,TypeScript
888,C
888,JavaScript
888,PHP
891,Bash/Shell (all shells)
891,Go
891,HTML/CSS
891,JavaScript
891,PHP
891,Python
891,Rust
891,SQL
901,HTML/CSS
901,JavaScript
901,SQL
901,TypeScript
902,Bash/Shell (all shells)
902,Go
902,HTML/CSS
902,Java
902,JavaScript
902,Kotlin
902,Python
902,SQL
902,TypeScript
907,Bash/Shell (all shells)
907,Elixir
907,JavaScript
907,Ruby
909,JavaScript
909,SQL
909,TypeScript
913,Dart
913,HTML/CSS
913,JavaScript
913,TypeScript
916,Java
916,Kotlin
916,Python
916,Rust
916,SQL
916,TypeScript
916,Zig
919,PHP
924,C
924,C#
924,HTML/CSS
924,Java
924,Python
926,HTML/CSS
926,Java
926,Python
926,SQL
926,TypeScript
928,Bash/Shell (all shells)
928,HTML/CSS
928,Java
928,JavaScript
928,Kotlin
928,PHP
928,PowerShell
928,Python
928,SQL
932,Clojure
932,Python
935,C#
935,Go
935,PowerShell
935,Python
935,SQL
938,Go
938,JavaScript
938,Python
938,Rust
938,SQL
944,Java
944,JavaScript
944,PHP
944,Python
944,SQL
946,C#
946,HTML/CSS
946,JavaScript
946,SQL
946,TypeScript
948,JavaScript
948,Python
948,Rust
948,TypeScript
953,Java
953,JavaScript
953,Python
953,Rust
953,SQL
953,TypeScript
954,HTML/CSS
954,JavaScript
954,SQL
954,TypeScript
957,C
957,C#
957,C++
957,Dart
957,Go
957,HTML/CSS
957,JavaScript
957,Python
957,SQL
957,TypeScript
958,C#
958,HTML/CSS
958,JavaScript
958,SQL
958,TypeScript
960,Bash/Shell (all shells)
960,Go
960,HTML/CSS
960,JavaScript
960,Python
960,Rust
960,SQL
960,TypeScript
961,Delphi
961,HTML/CSS
961,JavaScript
961,PHP
961,SQL
964,C#
964,HTML/CSS
964,TypeScript
965,GDScript
965,Go
965,HTML/CSS
965,JavaScript
965,TypeScript
978,C#
978,HTML/CSS
978,JavaScript
978,TypeScript
982,C#
982,Ruby
988,Bash/Shell (all shells)
988,C
988,C#
988,C++
988,HTML/CSS
988,JavaScript
988,PHP
988,PowerShell
988,Python
988,Rust
988,SQL
988,Visual Basic (.Net)
989,HTML/CSS
989,JavaScript
989,Python
989,TypeScript
991,Bash/Shell (all shells)
991,C#
991,Go
991,HTML/CSS
991,JavaScript
991,Python
991,Rust
991,SQL
1001,Kotlin
1003,Bash/Shell (all shells)
1003,HTML/CSS
1003,Java
1003,JavaScript
1003,SQL
1003,TypeScript
1004,C#
1004,Go
1004,JavaScript
1004,Rust
1004,TypeScript
1010,C#
1018,Bash/Shell (all shells)
1018,C
1018,Go
1018,Lua
1018,Rust
1018,Zig
1019,C#
1019,JavaScript
1019,MicroPython
1019,PowerShell
1019,Python
1019,SQL
1019,TypeScript
1020,Bash/Shell (all shells)
1020,HTML/CSS
1020,Java
1020,JavaScript
1020,OCaml
1020,Perl
1020,Ruby
1021,C#
1021,HTML/CSS
1021,JavaScript
1021,Visual Basic (.Net)
1025,JavaScript
1025,Rust
1025,TypeScript
1026,Bash/Shell (all shells)
1026,Dart
1026,Go
1026,JavaScript
1026,Python
1026,Rust
1026,TypeScript
1029,Bash/Shell (all shells)
1029,Python
1029,SQL
1030,C#
1030,Go
1030,HTML/CSS
1030,JavaScript
1030,Python
1030,Rust
1030,TypeScript
1030,Visual Basic (.Net)
1032,Bash/Shell (all shells)
1032,C++
1032,Java
1032,Python
1032,SQL
1033,Assembly
1033,C
1033,Clojure
1033,HTML/CSS
1033,JavaScript
1033,MicroPython
1033,Scala
1033,SQL
1034,HTML/CSS
1034,JavaScript
1034,Python
1034,Rust
1034,TypeScript
1035,JavaScript
1035,Python
1035,SQL
1039,Python
1039,SQL
1041,Bash/Shell (all shells)
1041,Go
1041,JavaScript
1041,PHP
1041,TypeScript
1042,C#
1042,Dart
1042,HTML/CSS
1042,Java
1042,JavaScript
1042,Python
1042,TypeScript
1044,HTML/CSS
1044,JavaScript
1044,PHP
1044,Python
1044,SQL
1044,TypeScript
1052,C#
1052,C++
1052,HTML/CSS
1052,Java
1052,JavaScript
1052,Python
1052,Ruby
1052,Rust
1053,HTML/CSS
1053,Java
1053,SQL
1053,TypeScript
1054,Go
1054,HTML/CSS
1054,JavaScript
1054,Ruby
1062,Haskell
1062,Rust
1064,JavaScript
1064,Python
1064,R
1065,C++
1065,Dart
1065,Go
1065,JavaScript
1065,Python
1065,TypeScript
1070,Java
1070,SQL
1071,Bash/Shell (all shells)
1071,Kotlin
1071,Rust
1071,SQL
1071,TypeScript
1072,Ada
1072,C
1072,C#
1072,C++
1072,Cobol
1072,Dart
1072,Fortran
1072,Go
1072,Java
1072,Julia
1072,Python
1072,R
1072,Rust
1072,SQL
1072,Visual Basic (.Net)
